complaint_type,borough,agency,incident_zip,target
66,1,10,103,1
47,3,10,141,1
47,2,10,21,1
20,3,7,145,1
67,3,10,151,1
101,1,9,104,1
9,3,10,133,1
107,1,9,104,1
66,1,10,106,1
37,2,11,2,0
47,1,10,110,1
60,3,6,146,0
42,0,9,62,1
66,4,10,56,1
9,1,10,100,1
9,3,10,156,1
47,1,10,129,1
47,0,10,70,1
69,2,10,16,1
15,2,0,31,1
47,0,10,61,1
66,3,10,177,1
42,2,9,32,1
101,3,9,179,1
47,1,10,107,1
91,4,5,53,1
50,2,4,15,1
42,2,9,72,1
66,2,10,37,1
2,0,10,65,1
47,1,10,113,1
66,1,10,118,1
71,1,7,125,0
17,0,9,63,0
108,3,1,146,1
66,1,10,100,1
9,0,10,76,1
9,3,10,132,1
107,0,9,62,0
15,1,0,108,1
60,1,6,115,0
58,3,7,150,1
42,0,9,83,1
47,1,10,94,1
47,1,10,96,1
67,2,10,31,1
2,3,10,171,1
62,2,10,1,1
62,1,10,101,1
47,1,10,101,1
22,3,7,163,1
66,0,10,68,1
82,1,6,100,0
101,3,9,176,0
15,2,0,29,0
67,2,10,26,1
62,1,10,103,1
47,2,10,24,1
66,2,10,27,1
42,0,9,65,1
9,3,10,163,1
63,2,8,13,0
45,1,7,102,1
66,3,10,141,1
47,3,10,151,1
9,1,10,113,1
67,1,10,101,1
86,1,5,111,0
42,0,9,66,1
12,3,3,91,0
42,0,9,75,1
39,3,3,180,0
58,0,7,78,1
66,0,10,63,1
79,1,3,131,1
42,2,9,34,1
9,1,10,120,1
46,4,10,58,1
17,0,9,62,1
42,1,9,108,1
66,2,10,10,1
54,3,1,90,1
62,0,10,79,1
42,0,9,77,1
47,3,10,91,1
66,3,10,154,1
9,3,10,164,1
22,1,7,112,1
74,3,9,170,1
68,1,10,103,1
39,1,3,111,1
42,3,9,176,1
66,2,10,31,1
66,3,10,92,1
67,3,10,133,1
16,1,5,110,0
47,1,10,112,1
101,3,9,90,0
66,0,10,77,1
67,1,10,94,1
39,3,3,140,0
47,0,10,71,1
47,1,10,106,1
42,2,9,28,1
42,1,9,118,1
42,0,9,68,1
42,2,9,36,1
42,0,9,61,1
58,3,7,143,0
47,3,10,151,1
66,1,10,118,1
3,3,1,142,1
67,3,10,160,1
47,3,10,154,1
66,3,10,174,1
42,1,9,105,1
81,2,4,32,1
66,1,10,107,1
67,0,10,78,1
47,2,10,33,1
66,3,10,163,1
66,1,10,99,1
62,1,10,101,1
22,1,7,103,1
62,1,10,97,1
66,1,10,102,1
66,3,10,154,1
42,0,9,66,1
47,3,10,147,1
42,1,9,127,1
74,1,9,109,0
42,3,9,89,1
9,0,10,74,1
66,1,10,104,1
66,0,10,67,1
96,2,11,20,0
42,2,9,16,1
9,3,10,135,1
74,0,9,76,1
66,3,10,154,1
26,3,10,142,1
26,0,10,60,1
42,0,9,68,1
101,1,9,118,0
47,3,10,153,1
38,1,9,123,0
67,2,10,26,1
40,1,7,123,1
42,2,9,25,1
17,2,9,28,0
99,4,5,58,1
81,3,4,160,1
47,2,10,20,1
75,1,9,108,1
71,2,7,7,1
47,1,10,126,1
42,1,9,97,1
42,1,9,110,1
67,1,10,108,1
66,0,10,76,1
66,1,10,109,1
33,2,2,21,1
67,4,10,50,1
109,1,1,99,1
2,3,10,141,1
66,1,10,98,1
107,2,9,2,0
42,0,9,81,1
47,1,10,102,1
66,0,10,66,1
81,1,4,123,0
28,0,9,69,1
62,1,10,113,1
62,3,10,92,1
66,1,10,126,1
62,3,10,154,1
42,0,9,67,1
95,2,7,8,0
42,0,9,60,1
47,0,10,61,1
109,1,1,102,0
9,3,10,153,1
42,3,9,92,1
107,0,9,76,0
66,1,10,106,1
66,0,10,66,1
0,0,9,66,1
47,1,10,96,1
47,3,10,164,1
28,2,9,24,0
47,1,10,96,1
107,2,9,25,0
90,1,5,113,1
66,0,10,62,1
47,1,10,128,1
42,2,9,27,1
15,3,0,175,0
47,0,10,72,1
47,0,10,79,1
2,1,10,130,1
86,3,5,92,0
67,2,10,20,1
47,0,10,64,1
101,0,9,76,0
9,0,10,76,1
68,2,10,7,1
47,3,10,149,1
47,1,10,125,1
47,1,10,125,1
90,1,5,109,1
42,2,9,29,1
67,1,10,117,1
47,1,10,112,1
62,1,10,103,1
42,2,9,22,1
62,1,10,97,1
61,2,1,15,1
75,0,9,66,0
67,2,10,31,1
90,1,5,106,1
42,0,9,81,1
109,3,1,168,1
22,1,7,96,1
62,4,10,55,1
42,0,9,60,1
5,3,10,151,1
47,0,10,67,1
67,2,10,31,1
32,2,3,11,1
105,3,7,144,1
47,1,10,102,1
42,0,9,63,1
47,2,10,31,1
66,2,10,28,1
8,2,10,2,1
68,0,10,69,1
58,0,7,74,1
42,0,9,66,1
8,2,10,2,1
42,0,9,79,1
66,1,10,99,1
45,3,7,90,1
47,1,10,114,1
9,3,10,148,1
42,2,9,23,1
2,3,10,166,1
37,2,11,13,0
42,0,9,69,1
66,2,10,1,1
66,0,10,62,1
66,4,10,56,1
66,1,10,100,1
57,3,6,178,0
63,2,8,20,0
47,1,10,94,1
47,3,10,154,1
26,3,10,133,1
42,2,9,31,1
47,1,10,130,1
2,3,10,141,1
91,4,5,58,1
66,1,10,104,1
47,1,10,112,1
101,1,9,114,0
42,0,9,72,1
66,0,10,77,1
90,3,5,162,0
47,2,10,15,1
31,1,3,123,0
69,2,10,27,1
75,2,9,24,0
47,3,10,144,1
9,1,10,106,1
40,1,7,123,1
47,1,10,118,1
47,4,10,59,1
101,0,9,76,1
40,1,7,123,0
42,0,9,72,1
66,0,10,65,1
47,0,10,76,1
9,3,10,165,1
58,1,7,106,1
81,3,4,174,1
62,3,10,148,1
47,3,10,165,1
75,0,9,65,1
2,1,10,106,1
68,2,10,36,1
26,3,10,142,1
42,1,9,117,1
61,2,1,32,1
42,1,9,118,1
101,1,9,117,0
0,1,9,111,1
101,2,9,22,0
8,2,10,2,1
8,2,10,2,1
101,0,9,79,0
66,2,10,8,1
55,1,7,122,1
69,2,10,30,1
47,3,10,159,1
101,0,9,78,1
47,1,10,94,1
46,3,10,132,1
42,0,9,65,1
96,3,11,172,0
8,2,10,2,1
62,1,10,109,1
101,1,9,109,0
66,1,10,101,1
66,0,10,68,1
9,1,10,95,1
42,3,9,88,1
66,0,10,66,1
66,0,10,77,1
47,3,10,88,1
47,2,10,22,1
62,1,10,96,1
66,0,10,82,1
66,3,10,173,1
9,1,10,130,1
32,0,3,70,0
9,1,10,100,1
66,2,10,34,1
9,0,10,75,1
47,1,10,109,1
47,1,10,94,1
47,2,10,22,1
8,2,10,2,1
66,1,10,99,1
47,3,10,141,1
42,1,9,129,1
101,1,9,109,0
68,1,10,118,1
42,1,9,105,1
66,2,10,2,1
62,3,10,154,1
47,2,10,12,1
37,1,11,131,0
67,0,10,60,1
66,0,10,67,1
9,3,10,179,1
47,3,10,145,1
9,0,10,78,1
47,1,10,112,1
67,1,10,101,1
81,1,4,115,1
66,0,10,77,1
66,3,10,147,1
107,0,9,65,0
67,2,10,1,1
47,2,10,15,1
40,1,7,123,1
62,4,10,54,1
9,1,10,106,1
42,0,9,71,1
47,3,10,163,1
42,3,9,176,1
61,1,1,109,0
47,1,10,99,1
80,1,7,113,1
101,0,9,81,1
9,3,10,148,1
107,2,9,29,0
42,3,9,147,1
34,1,9,108,1
47,2,10,26,1
99,0,5,83,1
2,4,10,56,1
66,1,10,113,1
66,2,10,33,1
61,2,1,29,1
46,1,10,110,1
2,4,10,56,1
4,2,6,30,1
62,3,10,88,1
47,1,10,94,1
46,3,10,132,1
47,3,10,153,1
15,2,0,9,0
45,1,7,99,1
75,0,9,65,0
62,3,10,148,1
47,1,10,125,1
60,0,6,64,0
40,1,7,109,0
63,2,8,20,0
68,2,10,22,1
33,2,2,34,1
47,3,10,152,1
101,3,9,90,1
66,0,10,75,1
38,0,9,61,0
38,2,9,26,0
40,1,7,126,0
66,3,10,92,1
66,4,10,53,1
47,0,10,65,1
37,2,11,24,0
47,3,10,140,1
62,2,10,3,1
42,0,9,76,1
47,3,10,150,1
47,1,10,95,1
42,1,9,117,1
47,3,10,144,1
109,4,1,51,1
62,3,10,151,1
42,3,9,151,1
69,3,10,149,1
47,3,10,176,1
42,0,9,70,1
42,3,9,90,1
9,1,10,120,1
47,1,10,98,1
73,3,6,160,1
9,0,10,65,1
66,2,10,36,1
66,0,10,71,1
47,3,10,181,1
66,3,10,91,1
42,2,9,43,1
47,3,10,159,1
66,3,10,154,1
74,1,9,95,1
47,2,10,36,1
47,1,10,125,1
28,2,9,31,0
101,3,9,88,0
8,2,10,2,1
74,1,9,99,0
67,1,10,97,1
42,0,9,65,1
9,1,10,120,1
66,1,10,95,1
81,1,4,95,1
63,2,8,20,0
42,0,9,61,1
85,1,1,108,1
66,1,10,97,1
66,1,10,105,1
60,2,6,22,0
2,1,10,98,1
66,0,10,67,1
81,3,4,162,1
47,3,10,132,1
42,3,9,160,1
42,0,9,70,1
66,3,10,176,1
66,1,10,106,1
47,3,10,146,1
66,0,10,65,1
42,2,9,27,1
42,0,9,63,1
66,0,10,72,1
62,3,10,148,1
62,3,10,154,1
2,1,10,130,1
47,1,10,129,1
66,1,10,124,1
47,1,10,121,1
23,1,7,112,1
47,2,10,30,1
47,2,10,2,1
66,0,10,64,1
39,1,3,129,1
42,1,9,129,1
47,1,10,114,1
42,0,9,81,1
31,2,3,0,0
17,1,9,99,0
42,1,9,118,1
85,1,1,101,1
47,3,10,148,1
8,2,10,2,1
66,2,10,7,1
40,2,7,40,0
47,1,10,97,1
8,2,10,2,1
66,0,10,78,1
66,2,10,27,1
66,2,10,7,1
45,0,7,70,1
66,1,10,96,1
9,0,10,71,1
28,1,9,104,0
66,0,10,75,1
107,0,9,68,1
2,1,10,120,1
42,0,9,75,1
58,3,7,149,1
26,3,10,142,1
66,3,10,163,1
46,0,10,81,1
9,1,10,103,1
62,4,10,50,1
8,2,10,2,1
66,1,10,108,1
47,0,10,75,1
87,1,4,118,0
38,2,9,36,0
26,3,10,147,1
90,1,5,106,1
60,2,6,0,0
42,0,9,72,1
66,3,10,154,1
42,0,9,81,1
42,0,9,81,1
61,1,1,103,1
66,1,10,100,1
66,2,10,36,1
35,1,4,128,0
96,3,11,172,0
66,1,10,101,1
68,2,10,22,1
66,0,10,63,1
58,1,7,105,1
47,1,10,97,1
4,3,6,176,1
62,3,10,148,1
47,2,10,24,1
9,0,10,75,1
47,1,10,131,1
47,0,10,76,1
42,0,9,62,1
42,3,9,170,1
66,2,10,29,1
47,3,10,154,1
9,3,10,164,1
90,1,5,106,1
66,2,10,36,1
18,1,6,99,0
90,2,5,10,1
47,0,10,72,1
47,3,10,153,1
76,1,10,97,1
67,3,10,89,1
101,0,9,76,1
47,1,10,102,1
47,1,10,100,1
9,1,10,117,1
47,1,10,94,1
9,3,10,133,1
66,2,10,28,1
9,3,10,144,1
109,3,1,163,1
42,1,9,105,1
2,3,10,140,1
66,2,10,30,1
66,1,10,130,1
63,2,8,20,0
9,0,10,68,1
66,3,10,177,1
28,0,9,78,1
71,2,7,23,1
47,1,10,115,1
62,3,10,91,1
66,2,10,22,1
45,1,7,107,1
9,1,10,112,1
42,3,9,92,1
40,1,7,120,0
69,1,10,116,1
66,3,10,163,1
40,1,7,126,0
42,2,9,29,1
42,2,9,33,1
42,1,9,95,1
13,2,5,7,0
66,3,10,136,1
42,0,9,60,1
74,2,9,16,1
9,1,10,119,1
86,3,5,138,0
46,1,10,111,1
42,2,9,23,1
47,1,10,119,1
47,2,10,4,1
38,2,9,24,0
66,2,10,29,1
62,0,10,69,1
47,0,10,81,1
60,1,6,107,0
67,1,10,128,1
66,2,10,28,1
66,0,10,71,1
90,0,5,75,1
47,1,10,130,1
66,1,10,97,1
9,0,10,62,1
66,0,10,62,1
66,0,10,75,1
10,1,3,125,1
22,1,7,110,1
62,2,10,1,1
47,1,10,114,1
9,1,10,120,1
62,1,10,121,1
47,3,10,148,1
47,3,10,92,1
47,3,10,161,1
4,1,6,120,1
105,2,7,0,1
18,3,6,161,0
69,2,10,16,1
67,0,10,69,1
3,1,1,99,0
66,1,10,95,1
66,1,10,105,1
37,3,11,93,0
33,1,10,103,1
66,4,10,50,1
66,1,10,112,1
28,1,9,125,1
47,0,10,72,1
33,2,2,12,1
39,2,3,26,1
47,3,10,181,1
47,4,10,49,1
47,1,10,109,1
47,0,10,76,1
66,0,10,65,1
47,3,10,141,1
66,2,10,27,1
47,1,10,126,1
47,1,10,117,1
47,1,10,94,1
42,1,9,111,1
15,1,0,110,0
9,3,10,163,1
39,0,3,77,1
66,1,10,108,1
42,3,9,147,1
47,1,10,101,1
17,1,9,115,1
67,3,10,89,1
47,3,10,154,1
63,2,8,20,0
2,1,10,130,1
9,3,10,90,1
47,0,10,61,1
101,1,9,129,0
68,3,10,145,1
47,1,10,126,1
40,1,7,96,1
47,3,10,88,1
66,0,10,69,1
9,3,10,153,1
2,1,10,106,1
42,0,9,71,1
42,1,9,114,1
9,3,10,89,1
54,2,1,43,1
107,1,9,113,0
23,0,7,67,1
56,2,11,7,0
74,0,9,72,0
66,2,10,34,1
47,1,10,102,1
40,1,7,110,1
9,3,10,144,1
31,1,3,118,0
63,2,8,20,0
42,1,9,105,1
18,3,6,151,0
66,3,10,178,1
66,3,10,151,1
66,4,10,53,1
66,3,10,144,1
101,3,9,154,0
106,2,6,25,1
66,0,10,76,1
68,3,10,158,1
59,1,4,94,0
10,0,3,81,1
47,1,10,106,1
67,1,10,99,1
39,1,3,103,1
101,4,9,55,0
90,1,5,125,1
47,2,10,28,1
42,3,9,178,1
94,1,5,100,0
8,2,10,2,1
47,3,10,156,1
22,1,7,103,1
8,2,10,2,1
101,2,9,72,1
69,2,10,16,1
42,0,9,76,1
81,1,4,118,1
75,3,9,161,1
2,1,10,96,1
90,1,5,110,1
42,2,9,29,1
71,3,7,147,1
101,2,9,26,0
17,0,9,69,1
62,2,10,20,1
66,3,10,150,1
9,3,10,167,1
9,1,10,113,1
9,3,10,148,1
58,1,7,124,0
2,1,10,130,1
85,3,1,151,1
101,3,9,173,0
40,1,7,123,0
9,0,10,65,1
47,2,10,20,1
47,0,10,72,1
35,1,4,118,0
8,2,10,2,1
74,1,9,108,1
38,2,9,30,0
42,2,9,38,1
42,0,9,72,1
9,1,10,126,1
17,2,9,24,0
66,3,10,92,1
99,4,5,58,1
9,3,10,163,1
47,3,10,147,1
47,3,10,160,1
47,2,10,31,1
47,0,10,60,1
47,1,10,106,1
47,0,10,65,1
9,3,10,173,1
66,3,10,177,1
101,2,9,27,0
47,3,10,159,1
62,1,10,100,1
66,2,10,28,1
47,1,10,94,1
52,1,1,123,1
0,0,9,81,0
9,0,10,71,1
42,2,9,23,1
67,1,10,99,1
47,3,10,169,1
62,0,10,81,1
66,0,10,71,1
28,3,9,174,1
101,2,9,29,0
62,0,10,67,1
8,2,10,2,1
47,2,10,31,1
2,1,10,130,1
47,3,10,176,1
81,1,4,108,1
33,2,2,33,1
25,1,4,112,1
8,2,10,2,1
42,1,9,95,1
62,3,10,174,1
47,2,10,7,1
42,2,9,27,1
0,0,9,62,1
37,3,11,145,0
47,2,10,30,1
23,3,7,153,1
9,3,10,162,1
47,3,10,154,1
66,4,10,59,1
99,4,5,58,1
66,3,10,151,1
42,0,9,77,1
62,1,10,128,1
47,0,10,81,1
99,3,5,151,1
42,2,9,29,1
47,1,10,110,1
2,3,10,153,1
47,1,10,97,1
63,2,8,20,0
0,1,9,108,1
66,1,10,99,1
8,2,10,2,1
42,0,9,71,1
34,0,9,84,0
42,2,9,1,1
66,3,10,141,1
17,0,9,67,1
2,1,10,125,1
47,2,10,36,1
66,2,10,28,1
63,3,8,158,0
47,0,10,67,1
33,2,10,21,1
90,1,5,116,0
12,3,3,164,0
48,4,7,58,1
47,3,10,144,1
42,3,9,176,1
58,1,7,123,1
47,1,10,96,1
22,1,7,99,1
47,0,10,69,1
2,1,10,130,1
66,1,10,129,1
47,1,10,109,1
42,4,9,51,1
66,3,10,144,1
47,3,10,152,1
66,1,10,121,1
42,3,9,152,1
109,3,1,164,0
66,1,10,113,1
47,1,10,97,1
9,0,10,71,1
48,4,7,58,1
17,3,9,166,1
42,1,9,118,1
2,0,10,78,1
47,2,10,29,1
47,3,10,165,1
110,1,6,121,1
22,1,7,115,1
66,2,10,26,1
109,3,1,147,1
67,2,10,13,1
9,3,10,176,1
42,3,9,147,1
62,1,10,103,1
71,1,7,115,1
90,1,5,97,1
18,2,6,0,1
46,1,10,115,1
47,4,10,58,1
47,1,10,124,1
67,3,10,148,1
75,2,9,32,0
47,3,10,150,1
22,0,7,78,1
47,1,10,97,1
47,2,10,8,1
90,2,5,1,1
42,0,9,69,1
67,3,10,89,1
66,2,10,27,1
66,2,10,26,1
42,1,9,129,1
63,2,8,20,0
85,4,1,48,1
47,3,10,91,1
45,3,7,171,1
42,2,9,31,1
66,1,10,94,1
66,2,10,8,1
47,0,10,76,1
62,1,10,121,1
90,0,5,74,1
75,0,9,62,0
42,1,9,99,1
47,2,10,22,1
39,1,3,95,1
66,0,10,66,1
9,0,10,71,1
47,1,10,100,1
23,4,7,58,1
47,3,10,87,1
42,2,9,31,1
49,2,6,1,0
66,2,10,26,1
62,2,10,7,1
67,1,10,115,1
66,4,10,59,1
75,2,9,31,0
107,3,9,166,1
66,2,10,10,1
9,3,10,158,1
72,2,5,20,1
74,1,9,118,1
24,3,10,168,1
35,1,4,118,0
9,2,10,24,1
90,1,5,115,1
42,0,9,76,1
47,2,10,37,1
75,0,9,71,0
47,3,10,152,1
